loss,accuracy,val_loss,val_accuracy
1.4499846696853638,0.8905279636383057,5.272757053375244,0.30000001192092896
0.3254096806049347,0.9510869383811951,1.8408123254776,0.800000011920929
0.31771671772003174,0.9557453393936157,0.9930151104927063,0.699999988079071
0.20994243025779724,0.9671971797943115,0.49734145402908325,0.8999999761581421
0.10129080712795258,0.9776785969734192,1.7617610692977905,0.699999988079071
0.1231120303273201,0.9751552939414978,0.15120498836040497,0.8999999761581421
0.10584809631109238,0.9765139818191528,1.3627443313598633,0.800000011920929
0.03828315809369087,0.9902950525283813,0.8179898262023926,0.800000011920929
0.02760620228946209,0.9908773303031921,0.4876770079135895,0.8999999761581421
0.021387359127402306,0.992818295955658,0.5674339532852173,0.800000011920929
0.008338446728885174,0.9965062141418457,0.4352684020996094,0.8999999761581421
0.02167394943535328,0.9935947060585022,0.0012893516104668379,1.0
0.00831728894263506,0.9972826242446899,0.7688114047050476,0.800000011920929
0.005552216432988644,0.9980590343475342,0.31719493865966797,0.8999999761581421
0.0010579501977190375,1.0,0.34457314014434814,0.8999999761581421
0.0006740757380612195,1.0,0.20003902912139893,0.8999999761581421
0.0005109706544317305,1.0,0.3202997148036957,0.8999999761581421
0.0004694019735325128,1.0,0.13718281686306,0.8999999761581421
0.00041834451258182526,1.0,0.439474880695343,0.8999999761581421
0.00040806320612318814,1.0,0.15590888261795044,0.8999999761581421
0.000351435475749895,1.0,0.39376765489578247,0.8999999761581421
0.000323943531839177,1.0,0.3587765097618103,0.8999999761581421
0.000294835859676823,1.0,0.16929301619529724,0.8999999761581421
0.00029478836222551763,1.0,0.698533833026886,0.800000011920929
0.00029447293491102755,1.0,0.17237058281898499,0.8999999761581421
0.0002508640754967928,1.0,0.160223588347435,0.8999999761581421
0.0002453158376738429,1.0,0.2943490147590637,0.8999999761581421
0.0002367186825722456,1.0,0.5547739267349243,0.800000011920929
0.00021417175594251603,1.0,0.5285274982452393,0.800000011920929
0.00020642152230720967,1.0,0.14935283362865448,0.8999999761581421
0.0002042068081209436,1.0,0.7049063444137573,0.800000011920929
0.00018848426407203078,1.0,0.5983449816703796,0.800000011920929
0.000186907549505122,1.0,0.24115073680877686,0.8999999761581421
0.00018234473827760667,1.0,0.5967400670051575,0.800000011920929
0.0001632665516808629,1.0,0.14691941440105438,0.8999999761581421
0.00016427497030235827,1.0,0.006938633508980274,1.0
0.00016203474660869688,1.0,0.22564108669757843,0.8999999761581421
0.0001493767194915563,1.0,0.3852364420890808,0.8999999761581421
0.00013735436368733644,1.0,0.0001262063451576978,1.0
0.00013989613216836005,1.0,0.6021581292152405,0.800000011920929
0.00012820631673093885,1.0,0.3893522620201111,0.8999999761581421
0.00012720254017040133,1.0,0.5671313405036926,0.800000011920929
0.00011703316704370081,1.0,0.14771690964698792,0.8999999761581421
0.00011624648323049769,1.0,0.46414056420326233,0.8999999761581421
0.00010981571540469304,1.0,0.41646161675453186,0.8999999761581421
0.00010473332076799124,1.0,0.46072274446487427,0.8999999761581421
0.0001022445285343565,1.0,0.14661914110183716,0.8999999761581421
9.908325591823086e-05,1.0,0.18654783070087433,0.8999999761581421
9.45050414884463e-05,1.0,0.7391095161437988,0.800000011920929
9.312351903645322e-05,1.0,0.5846045613288879,0.800000011920929
